filename;stream_start;stream_end;dtw_stream2best;dtw_rbm2best;dtw_rbmdtw2best;gain_rbm;gain_rbmdtw;rbm_nodes;rbmdtw_nodes
inertial/lower/A/Lshin/A01HAAL0_2_MAG.csv;1653;2498;0,128035672;0,255119012;0,209827162;-0,498133554;-0,38980411;(388, 130);(388, 130)
inertial/lower/A/Lshin/A01HAAL0_2_MAG.csv;1662;2562;0,128012177;0,323136439;0,263732513;-0,603844811;-0,514613593;(388, 130);(388, 130)
inertial/lower/A/Lshin/A01HAAL0_2_MAG.csv;1758;2713;0,103018704;0,242103449;0,243025678;-0,574484771;-0,576099508;(388, 130);(388, 130)
inertial/lower/A/Lshin/A01HAAL0_2_MAG.csv;2014;3024;0,015931606;0,035010912;0,036239622;-0,544953118;-0,560381555;(388, 130);(388, 130)
inertial/lower/A/Lshin/A01HAAL0_2_MAG.csv;2111;3176;0,061340751;0,071234214;0,080019427;-0,138886389;-0,233426762;(388, 130);(388, 130)
inertial/lower/A/Lshin/A01HAAL0_2_MAG.csv;2206;3326;0,107335707;0,174778552;0,201887814;-0,385875976;-0,46833984;(388, 130);(388, 130)
inertial/lower/A/Lshin/A01HAAL0_2_MAG.csv;2309;3484;0,07198081;0,160650249;0,162434896;-0,551940874;-0,55686363;(388, 130);(388, 130)
inertial/lower/A/Lshin/A01HAAL0_2_MAG.csv;2413;3643;0,021885233;0,047119994;0,047119994;-0,535542544;-0,535542544;(388, 130);(388, 130)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;50;197;1,466203936;0,639999918;1,058011212;1,290943945;0,385811341;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;316;511;1,666359259;1,238074552;1,409852437;0,345928043;0,181938773;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;376;619;0,422144648;1,030369063;0,886240233;-0,590297629;-0,523667926;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;441;732;0,141999424;0,007451744;0,008987725;18,05586336;14,79926147;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;558;897;0,08802427;0,04807525;0,062780244;0,830968534;0,402101434;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;751;1138;0,037816914;0,030498429;0,023994543;0,239962716;0,576063148;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;763;1198;0,010804574;0,010190106;0,005512886;0,06030036;0,959875942;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;1044;1527;0,011352514;0,004462387;0,005775383;1,544045226;0,965672829;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;1215;1746;0,036795326;0,011192932;0,007640039;2,287371475;3,816117349;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;1346;1925;0,006303453;0,006183105;0,022357181;0,019463873;-0,718056913;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;1463;2090;0,004172072;0,009940802;0,004156594;-0,580308343;0,003723726;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;1724;2399;0,014877582;0,007032518;0,006037688;1,115541295;1,464119206;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;1833;2556;0,020115228;0,041200967;0,007254506;-0,511777764;1,77279092;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;2081;2852;0,008730736;0,010725349;0,01044303;-0,185971896;-0,163965316;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;2196;3015;0,00888317;0,019664518;0,009764614;-0,548264021;-0,090269219;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;2468;3335;0,009255486;0,032139279;0,025751263;-0,712019497;-0,640581288;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;2605;3520;0,091642204;0,019069942;0,008985674;3,805583783;9,198701164;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;2642;3605;0,041512318;0,004175641;0,00436918;8,941543012;8,501169283;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;2649;3660;0,026044049;0,029654375;0,017896441;-0,121746847;0,455264156;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;2692;3751;0,037309149;0,011281263;0,007847272;2,307178353;3,754410253;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01HAAR0_2_MAG.csv;2694;3801;0,094880317;0,019460703;0,01605539;3,875482575;4,90956159;(439, 147);(439, 147)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;38;133;0,146057827;0,432409978;0,432058964;-0,662223737;-0,66194932;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;156;307;0,080544618;0,338522748;0,354866988;-0,762070295;-0,773028711;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;174;381;0,205470286;0,368912051;0,255080598;-0,443037208;-0,19448877;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;189;452;0,153784887;0,18531377;0,181985982;-0,170137829;-0,154963008;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;211;530;0,062609464;0,271614651;0,253254584;-0,769491579;-0,752780529;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;241;616;0,024744913;0,057734922;0,078482669;-0,57140476;-0,68470857;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;264;695;0,14643458;0,328905488;0,331584749;-0,554782194;-0,55837963;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;291;778;0,019268694;0,034514493;0,039414103;-0,441721657;-0,511121849;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;313;856;0,089390947;0,19624994;0,171481868;-0,544504589;-0,478714877;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;351;950;0,027974577;0,05215442;0,051659284;-0,463620203;-0,458479195;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;370;1025;0,138170715;0,583431706;0,471344264;-0,763175854;-0,70685818;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;419;1130;0,072635613;0,068645324;0,066734597;0,058129073;0,088425128;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;439;1206;0,142937838;0,483006898;0,431189785;-0,704066673;-0,668503654;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;481;1304;0,048438292;0,07103238;0,076188432;-0,318081529;-0,364230357;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;504;1383;0,111238458;0,453469444;0,45322062;-0,754694701;-0,754560025;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;547;1482;0,030525257;0,039801751;0,041317087;-0,233067485;-0,261195336;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;575;1566;0,084295233;0,176653162;0,154748895;-0,522820696;-0,455277318;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;611;1658;0,026597167;0,028018705;0,02604436;-0,050735339;0,021225575;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;633;1736;0,161195795;0,408839314;0,340301813;-0,60572335;-0,526315204;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;686;1845;0,027863983;0,061683212;0,047479165;-0,548272823;-0,413132406;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;706;1921;0,142303002;0,430296261;0,418414644;-0,669290637;-0,659899565;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;737;2008;0,071182109;0,08383092;0,08219734;-0,1508848;-0,134009579;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;756;2083;0,09456248;0,503644759;0,440921877;-0,812243692;-0,785534614;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;781;2164;0,032243185;0,053292367;0,050264261;-0,394975553;-0,358526626;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;804;2243;0,092473381;0,278712361;0,286921907;-0,668212128;-0,677705399;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;840;2335;0,0880562;0,02319504;0,022958748;2,796337494;2,835409461;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;860;2411;0,116963632;0,350878059;0,332628537;-0,666654473;-0,648365613;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;886;2493;0,103267286;0,116268288;0,129869016;-0,111818981;-0,204835075;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;908;2571;0,079259621;0,209145483;0,204539956;-0,62103116;-0,612498102;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;935;2654;0,045951218;0,042861849;0,029558013;0,072077349;0,554611199;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;955;2730;0,091944957;0,367798113;0,358860271;-0,75001243;-0,743786192;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;983;2814;0,106487216;0,066884151;0,063758767;0,592114338;0,67015802;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;1004;2891;0,095891485;0,26291541;0,262698313;-0,635276285;-0,634974872;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;1030;2973;0,109632322;0,035794018;0,026754547;2,062867128;3,097708019;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;1051;3050;0,105695835;0,471835709;0,437114621;-0,775990174;-0,758196523;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;1087;3142;0,085299359;0,159900673;0,159900673;-0,466547844;-0,466547844;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;1117;3228;0,049837158;0,103331557;0,170450731;-0,517696632;-0,707615465;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;1148;3315;0,0577445;0,059930321;0,059183547;-0,036472703;-0,024314982;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;1172;3395;0,079276774;0,174759998;0,213130952;-0,546367735;-0,628037255;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;1194;3473;0,065217614;0,120687348;0,119268243;-0,459615149;-0,453185417;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;1210;3545;0,402830553;0,940107995;0,752612238;-0,571506088;-0,46475684;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;1405;3796;1,316196922;0,56171766;0,561520162;1,343164575;1,343988713;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFEL0_2_MAG.csv;1433;3880;1,291933334;0,516279507;0,519539243;1,502391277;1,486690567;(283, 95);(283, 95)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;9;119;1,79060077;0,553265609;0,458913689;2,236421602;2,901824708;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;303;466;0,011759687;0,005576776;0,005825334;1,108689131;1,018714566;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;382;598;0,021568006;0,010803521;0,01475585;0,996386806;0,461657976;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;510;779;0,003070465;0,009603148;0,007616641;-0,680264771;-0,596874182;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;657;979;0,002812325;0,000969957;0,002088084;1,899432352;0,346844672;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;738;1113;0,023558652;0,030094792;0,026507623;-0,217185083;-0,111249926;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;827;1255;0,013148683;0,0024554;0,003212576;4,355007397;3,092878249;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;975;1456;0,031717321;0,026262298;0,018312169;0,207713122;0,732035249;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;1122;1656;0,005058066;0,003099045;0,002974161;0,632136978;0,700669765;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;1178;1765;0,007109899;0,015969435;0,013719388;-0,554780826;-0,481762691;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;1373;2013;0,003773778;0,005301218;0,009338136;-0,288129994;-0,59587454;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;1526;2219;0,006447032;0,009596913;0,009356151;-0,328218133;-0,310931156;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;1548;2294;0,005188731;0,001325669;0,001158161;2,914047368;3,480144747;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;1709;2508;0,01779159;0,022904032;0,01923407;-0,223211431;-0,074996093;(328, 110);(328, 110)
inertial/lower/A/Lshin/A01KFER0_2_MAG.csv;1805;2657;0,006038467;0,00614038;0,008422197;-0,016597205;-0,283029519;(328, 110);(328, 110)
